,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,ARRI11.SA,-2.5,6.1,4.23,2,2,0,100.0,0.0,0.0,2.77,0.05
2023-01-18,ARRI11.SA,-2.6,3.66,2.88,1,1,0,100.0,0.0,0.0,2.88,0.03
2023-01-18,ARRI11.SA,-2.7,4.1,2.99,1,1,0,100.0,0.0,0.0,2.99,0.03
2023-01-18,ARRI11.SA,-2.8,4.53,3.09,1,1,0,100.0,0.0,0.0,3.09,0.03
2023-01-18,ARRI11.SA,-2.9,0.64,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.0,0.86,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.1,1.08,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.2,1.3,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.3,1.51,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.4,1.73,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.5,0.67,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.6,0.67,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.7,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.8,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-3.9,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARRI11.SA,-4.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ARZZ3.SA,-0.5,5.18,-9.15,72,37,35,51.39,48.61,-4.59,7.73,-0.1
2023-01-18,ARZZ3.SA,-0.6,4.43,-9.36,70,35,35,50.0,50.0,-4.49,7.82,-0.1
2023-01-18,ARZZ3.SA,-0.7,7.33,-4.09,67,33,34,49.25,50.75,-4.38,7.92,-0.05
2023-01-18,ARZZ3.SA,-0.8,8.2,2.66,68,35,33,51.47,48.53,-4.28,8.02,0.03
2023-01-18,ARZZ3.SA,-0.9,1.44,-0.17,62,29,33,46.77,53.23,-4.18,8.13,-0.0
2023-01-18,ARZZ3.SA,-1.0,8.71,1.67,58,26,32,44.83,55.17,-4.08,8.22,0.02
2023-01-18,ARZZ3.SA,-1.1,2.25,-12.42,51,21,30,41.18,58.82,-3.98,8.32,-0.14
2023-01-18,ARZZ3.SA,-1.2,-1.54,-16.41,46,17,29,36.96,63.04,-3.88,8.42,-0.18
2023-01-18,ARZZ3.SA,-1.3,-0.46,-17.87,43,15,28,34.88,65.12,-3.78,8.53,-0.2
2023-01-18,ARZZ3.SA,-1.4,-1.72,-22.17,42,15,27,35.71,64.29,-3.68,4.18,-0.25
2023-01-18,ARZZ3.SA,-1.5,2.62,-18.0,42,16,26,38.1,61.9,-3.59,4.27,-0.2
2023-01-18,ARZZ3.SA,-1.6,14.38,-13.84,42,16,26,38.1,61.9,-3.49,4.38,-0.15
2023-01-18,ARZZ3.SA,-1.7,12.88,-11.48,41,16,25,39.02,60.98,-3.38,4.48,-0.13
2023-01-18,ARZZ3.SA,-1.8,19.78,-8.13,40,16,24,40.0,60.0,-3.28,4.57,-0.09
2023-01-18,ARZZ3.SA,-1.9,22.09,-4.12,40,17,23,42.5,57.5,-3.18,4.68,-0.05
2023-01-18,ARZZ3.SA,-2.0,18.99,-2.08,38,16,22,42.11,57.89,-3.08,4.77,-0.02
2023-01-18,ARZZ3.SA,-2.1,23.35,-1.87,35,14,21,40.0,60.0,-2.98,4.88,-0.02
2023-01-18,ARZZ3.SA,-2.2,17.39,-2.46,33,14,19,42.42,57.58,-2.88,4.97,-0.03
2023-01-18,ARZZ3.SA,-2.3,14.46,-2.77,32,13,19,40.62,59.38,-2.78,5.08,-0.03
2023-01-18,ARZZ3.SA,-2.4,15.39,-2.79,31,12,19,38.71,61.29,-2.68,5.17,-0.03
2023-01-18,ARZZ3.SA,-2.5,13.7,-6.95,28,9,19,32.14,67.86,-2.59,5.28,-0.08
2023-01-18,ARZZ3.SA,-2.6,10.68,-4.15,28,10,18,35.71,64.29,-2.49,5.37,-0.05
2023-01-18,ARZZ3.SA,-2.7,16.84,-1.34,28,10,18,35.71,64.29,-2.38,5.48,-0.01
2023-01-18,ARZZ3.SA,-2.8,16.71,-4.16,27,10,17,37.04,62.96,-2.28,3.8,-0.05
2023-01-18,ARZZ3.SA,-2.9,19.0,-1.44,26,11,15,42.31,57.69,-2.18,3.9,-0.02
2023-01-18,ARZZ3.SA,-3.0,23.85,0.45,26,11,15,42.31,57.69,-2.08,4.0,0.0
2023-01-18,ARZZ3.SA,-3.1,28.72,3.02,25,12,13,48.0,52.0,-1.98,4.1,0.03
2023-01-18,ARZZ3.SA,-3.2,23.0,5.64,26,14,12,53.85,46.15,-1.88,4.2,0.06
2023-01-18,ARZZ3.SA,-3.3,20.48,5.94,24,15,9,62.5,37.5,-1.78,4.3,0.07
2023-01-18,ARZZ3.SA,-3.4,21.08,6.09,22,15,7,68.18,31.82,-1.68,4.4,0.07
2023-01-18,ARZZ3.SA,-3.5,20.05,6.52,20,13,7,65.0,35.0,-1.59,4.5,0.07
2023-01-18,ARZZ3.SA,-3.6,17.23,8.5,19,13,6,68.42,31.58,-1.49,4.6,0.09
2023-01-18,ARZZ3.SA,-3.7,19.0,9.06,18,12,6,66.67,33.33,-1.38,4.7,0.1
2023-01-18,ARZZ3.SA,-3.8,13.04,2.26,15,9,6,60.0,40.0,-1.28,1.95,0.03
2023-01-18,ARZZ3.SA,-3.9,15.14,3.77,15,9,6,60.0,40.0,-1.18,2.06,0.04
2023-01-18,ARZZ3.SA,-4.0,15.46,3.12,14,8,6,57.14,42.86,-1.08,1.44,0.03
2023-01-18,ASAI3.SA,-0.5,87.05,31.07,80,49,31,61.25,38.75,-9.13,8.78,0.35
2023-01-18,ASAI3.SA,-0.6,81.02,32.38,76,46,30,60.53,39.47,-9.03,8.9,0.36
2023-01-18,ASAI3.SA,-0.7,85.75,38.81,75,46,29,61.33,38.67,-8.93,9.01,0.43
2023-01-18,ASAI3.SA,-0.8,88.76,38.55,72,44,28,61.11,38.89,-8.83,9.07,0.43
2023-01-18,ASAI3.SA,-0.9,67.75,24.02,65,38,27,58.46,41.54,-8.72,9.19,0.27
2023-01-18,ASAI3.SA,-1.0,53.33,12.14,62,37,25,59.68,40.32,-8.62,4.19,0.13
2023-01-18,ASAI3.SA,-1.1,62.08,14.67,58,35,23,60.34,39.66,-8.52,4.29,0.16
2023-01-18,ASAI3.SA,-1.2,60.29,9.85,55,32,23,58.18,41.82,-8.42,4.4,0.11
2023-01-18,ASAI3.SA,-1.3,40.62,5.39,49,27,22,55.1,44.9,-8.32,4.5,0.06
2023-01-18,ASAI3.SA,-1.4,37.8,1.08,47,25,22,53.19,46.81,-8.22,4.36,0.01
2023-01-18,ASAI3.SA,-1.5,37.18,4.67,45,25,20,55.56,44.44,-8.12,4.47,0.05
2023-01-18,ASAI3.SA,-1.6,36.85,5.78,44,24,20,54.55,45.45,-8.02,4.58,0.06
2023-01-18,ASAI3.SA,-1.7,15.63,-2.05,39,22,17,56.41,43.59,-7.92,2.71,-0.02
2023-01-18,ASAI3.SA,-1.8,9.7,-1.21,37,22,15,59.46,40.54,-7.82,2.81,-0.01
2023-01-18,ASAI3.SA,-1.9,5.22,-2.2,34,19,15,55.88,44.12,-7.72,2.58,-0.02
2023-01-18,ASAI3.SA,-2.0,5.44,1.13,34,21,13,61.76,38.24,-7.61,2.68,0.01
2023-01-18,ASAI3.SA,-2.1,13.15,4.63,34,21,13,61.76,38.24,-7.51,2.79,0.05
2023-01-18,ASAI3.SA,-2.2,10.07,1.34,29,18,11,62.07,37.93,-7.41,2.89,0.01
2023-01-18,ASAI3.SA,-2.3,9.32,0.06,26,16,10,61.54,38.46,-7.31,2.99,0.0
2023-01-18,ASAI3.SA,-2.4,9.48,-2.18,24,14,10,58.33,41.67,-7.21,3.05,-0.02
2023-01-18,ASAI3.SA,-2.5,14.26,0.26,24,14,10,58.33,41.67,-7.11,3.15,0.0
2023-01-18,ASAI3.SA,-2.6,16.4,1.46,22,13,9,59.09,40.91,-7.01,3.25,0.02
2023-01-18,ASAI3.SA,-2.7,18.95,3.76,23,15,8,65.22,34.78,-6.91,3.36,0.04
2023-01-18,ASAI3.SA,-2.8,20.94,4.12,21,13,8,61.9,38.1,-6.81,3.46,0.05
2023-01-18,ASAI3.SA,-2.9,23.2,4.17,20,12,8,60.0,40.0,-6.71,3.56,0.05
2023-01-18,ASAI3.SA,-3.0,20.7,2.18,18,10,8,55.56,44.44,-6.66,3.67,0.02
2023-01-18,ASAI3.SA,-3.1,16.62,2.64,15,8,7,53.33,46.67,-6.56,3.77,0.03
2023-01-18,ASAI3.SA,-3.2,19.97,4.31,16,10,6,62.5,37.5,-6.45,3.87,0.05
2023-01-18,ASAI3.SA,-3.3,17.47,-0.31,14,8,6,57.14,42.86,-6.35,2.68,-0.0
2023-01-18,ASAI3.SA,-3.4,17.96,-0.04,12,7,5,58.33,41.67,-6.25,2.78,-0.0
2023-01-18,ASAI3.SA,-3.5,12.44,-1.99,11,7,4,63.64,36.36,-6.15,2.24,-0.02
2023-01-18,ASAI3.SA,-3.6,15.0,-0.85,10,7,3,70.0,30.0,-6.05,2.35,-0.01
2023-01-18,ASAI3.SA,-3.7,14.37,-0.31,10,7,3,70.0,30.0,-5.95,2.45,-0.0
2023-01-18,ASAI3.SA,-3.8,14.89,0.68,10,7,3,70.0,30.0,-5.85,2.5,0.01
2023-01-18,ASAI3.SA,-3.9,15.3,1.21,9,6,3,66.67,33.33,-5.75,2.6,0.01
2023-01-18,ASAI3.SA,-4.0,8.49,0.14,7,4,3,57.14,42.86,-5.65,2.7,0.0
2023-01-18,ATTB34.SA,-0.5,-101.79,-24.37,61,21,40,34.43,65.57,-3.63,2.54,-0.27
2023-01-18,ATTB34.SA,-0.6,-94.59,-20.66,56,18,38,32.14,67.86,-3.51,2.63,-0.23
2023-01-18,ATTB34.SA,-0.7,-80.1,-15.11,56,21,35,37.5,62.5,-3.43,2.75,-0.17
2023-01-18,ATTB34.SA,-0.8,-80.59,-15.14,51,18,33,35.29,64.71,-3.31,2.85,-0.17
2023-01-18,ATTB34.SA,-0.9,-75.45,-13.51,45,16,29,35.56,64.44,-3.2,2.94,-0.15
2023-01-18,ATTB34.SA,-1.0,-72.71,-11.46,43,15,28,34.88,65.12,-3.11,3.03,-0.13
2023-01-18,ATTB34.SA,-1.1,-67.28,-11.4,38,12,26,31.58,68.42,-3.03,3.12,-0.13
2023-01-18,ATTB34.SA,-1.2,-60.97,-8.64,38,13,25,34.21,65.79,-2.91,3.21,-0.1
2023-01-18,ATTB34.SA,-1.3,-52.58,-4.96,36,14,22,38.89,61.11,-2.8,3.3,-0.06
2023-01-18,ATTB34.SA,-1.4,-49.03,-5.53,32,10,22,31.25,68.75,-2.71,3.42,-0.06
2023-01-18,ATTB34.SA,-1.5,-40.6,-2.66,28,10,18,35.71,64.29,-2.63,3.51,-0.03
2023-01-18,ATTB34.SA,-1.6,-36.51,-2.64,23,9,14,39.13,60.87,-2.51,3.6,-0.03
2023-01-18,ATTB34.SA,-1.7,-33.43,-0.29,23,9,14,39.13,60.87,-2.4,3.72,-0.0
2023-01-18,ATTB34.SA,-1.8,-29.47,1.09,21,9,12,42.86,57.14,-2.31,3.81,0.01
2023-01-18,ATTB34.SA,-1.9,-26.54,3.06,21,10,11,47.62,52.38,-2.23,3.9,0.03
2023-01-18,ATTB34.SA,-2.0,-28.76,-0.73,19,8,11,42.11,57.89,-2.11,3.31,-0.01
2023-01-18,ATTB34.SA,-2.1,-24.5,0.56,16,7,9,43.75,56.25,-2.0,3.44,0.01
2023-01-18,ATTB34.SA,-2.2,-24.41,0.59,14,7,7,50.0,50.0,-1.91,3.53,0.01
2023-01-18,ATTB34.SA,-2.3,-22.54,0.64,12,5,7,41.67,58.33,-1.83,3.62,0.01
2023-01-18,ATTB34.SA,-2.4,-20.58,1.75,11,5,6,45.45,54.55,-1.71,3.72,0.02
2023-01-18,ATTB34.SA,-2.5,-19.24,2.83,11,6,5,54.55,45.45,-1.6,3.81,0.03
2023-01-18,ATTB34.SA,-2.6,-24.01,-1.43,8,3,5,37.5,62.5,-1.51,2.65,-0.02
2023-01-18,ATTB34.SA,-2.7,-22.08,-1.49,6,1,5,16.67,83.33,-1.43,2.74,-0.02
2023-01-18,ATTB34.SA,-2.8,-19.59,-0.91,6,1,5,16.67,83.33,-1.31,2.83,-0.01
2023-01-18,ATTB34.SA,-2.9,-17.01,-0.35,5,1,4,20.0,80.0,-1.2,2.92,-0.0
2023-01-18,ATTB34.SA,-3.0,-18.21,-2.9,4,0,4,0.0,100.0,-1.11,0.0,-0.03
2023-01-18,ATTB34.SA,-3.1,-16.26,-2.5,4,0,4,0.0,100.0,-1.03,0.0,-0.03
2023-01-18,ATTB34.SA,-3.2,-14.41,-2.08,4,0,4,0.0,100.0,-0.91,0.0,-0.02
2023-01-18,ATTB34.SA,-3.3,-15.38,-1.69,3,0,3,0.0,100.0,-0.8,0.0,-0.02
2023-01-18,ATTB34.SA,-3.4,-13.93,-1.4,3,0,3,0.0,100.0,-0.71,0.0,-0.02
2023-01-18,ATTB34.SA,-3.5,-12.36,-1.1,3,0,3,0.0,100.0,-0.63,0.0,-0.01
2023-01-18,ATTB34.SA,-3.6,-10.9,-0.8,3,0,3,0.0,100.0,-0.51,0.0,-0.01
2023-01-18,ATTB34.SA,-3.7,-9.41,-0.52,2,0,2,0.0,100.0,-0.4,0.0,-0.01
2023-01-18,ATTB34.SA,-3.8,-7.91,-0.19,2,1,1,50.0,50.0,-0.31,0.12,-0.0
2023-01-18,ATTB34.SA,-3.9,-6.58,-0.01,2,1,1,50.0,50.0,-0.23,0.22,-0.0
2023-01-18,ATTB34.SA,-4.0,-5.11,0.2,2,1,1,50.0,50.0,-0.11,0.31,0.0
2023-01-18,ATVI34.SA,-0.5,-30.31,-17.75,45,15,30,33.33,66.67,-2.73,1.86,-0.2
2023-01-18,ATVI34.SA,-0.6,-24.22,-16.71,39,11,28,28.21,71.79,-2.63,1.96,-0.19
2023-01-18,ATVI34.SA,-0.7,-27.45,-17.24,34,7,27,20.59,79.41,-2.53,1.49,-0.19
2023-01-18,ATVI34.SA,-0.8,-22.37,-16.68,30,6,24,20.0,80.0,-2.43,1.59,-0.19
2023-01-18,ATVI34.SA,-0.9,-17.2,-15.26,29,6,23,20.69,79.31,-2.33,1.69,-0.17
2023-01-18,ATVI34.SA,-1.0,-16.79,-13.29,26,6,20,23.08,76.92,-2.23,1.79,-0.15
2023-01-18,ATVI34.SA,-1.1,-14.2,-11.92,23,5,18,21.74,78.26,-2.13,1.89,-0.13
2023-01-18,ATVI34.SA,-1.2,-10.72,-10.44,22,4,18,18.18,81.82,-2.03,1.99,-0.12
2023-01-18,ATVI34.SA,-1.3,-8.58,-8.76,20,4,16,20.0,80.0,-1.93,2.09,-0.1
2023-01-18,ATVI34.SA,-1.4,-6.89,-6.83,19,4,15,21.05,78.95,-1.83,2.19,-0.08
2023-01-18,ATVI34.SA,-1.5,-3.21,-4.94,19,6,13,31.58,68.42,-1.73,2.29,-0.05
2023-01-18,ATVI34.SA,-1.6,-1.61,-3.13,17,7,10,41.18,58.82,-1.63,2.39,-0.03
2023-01-18,ATVI34.SA,-1.7,-0.1,-3.06,14,4,10,28.57,71.43,-1.53,2.49,-0.03
2023-01-18,ATVI34.SA,-1.8,0.98,-1.67,14,5,9,35.71,64.29,-1.43,2.59,-0.02
2023-01-18,ATVI34.SA,-1.9,3.6,-0.26,13,5,8,38.46,61.54,-1.33,2.69,-0.0
2023-01-18,ATVI34.SA,-2.0,3.35,1.02,13,6,7,46.15,53.85,-1.23,2.79,0.01
2023-01-18,ATVI34.SA,-2.1,4.05,1.18,9,4,5,44.44,55.56,-1.13,2.89,0.01
2023-01-18,ATVI34.SA,-2.2,4.34,1.38,8,3,5,37.5,62.5,-1.03,3.0,0.02
2023-01-18,ATVI34.SA,-2.3,4.76,1.59,7,2,5,28.57,71.43,-0.93,3.09,0.02
2023-01-18,ATVI34.SA,-2.4,5.32,2.31,7,3,4,42.86,57.14,-0.83,3.19,0.03
2023-01-18,ATVI34.SA,-2.5,5.08,3.0,7,4,3,57.14,42.86,-0.73,3.29,0.03
2023-01-18,ATVI34.SA,-2.6,6.07,3.69,7,4,3,57.14,42.86,-0.63,3.39,0.04
2023-01-18,ATVI34.SA,-2.7,3.27,0.6,5,3,2,60.0,40.0,-0.53,1.14,0.01
2023-01-18,ATVI34.SA,-2.8,4.04,1.09,5,3,2,60.0,40.0,-0.43,1.23,0.01
2023-01-18,ATVI34.SA,-2.9,4.75,1.6,5,3,2,60.0,40.0,-0.33,1.34,0.02
2023-01-18,ATVI34.SA,-3.0,4.9,1.55,3,2,1,66.67,33.33,-0.23,1.44,0.02
2023-01-18,ATVI34.SA,-3.1,5.48,1.93,4,3,1,75.0,25.0,-0.13,1.53,0.02
2023-01-18,ATVI34.SA,-3.2,5.56,1.81,3,2,1,66.67,33.33,-0.03,1.64,0.02
2023-01-18,ATVI34.SA,-3.3,1.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.4,1.1,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.5,1.2,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.6,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.7,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.8,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-3.9,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,ATVI34.SA,-4.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,AURE3.SA,-0.5,19.74,-1.28,38,20,18,52.63,47.37,-3.6,3.07,-0.03
2023-01-18,AURE3.SA,-0.6,19.94,2.68,39,21,18,53.85,46.15,-3.53,3.2,0.06
2023-01-18,AURE3.SA,-0.7,22.66,4.41,36,20,16,55.56,44.44,-3.47,3.27,0.09
2023-01-18,AURE3.SA,-0.8,28.36,7.41,37,22,15,59.46,40.54,-3.33,3.41,0.16
2023-01-18,AURE3.SA,-0.9,27.49,3.58,33,18,15,54.55,45.45,-3.2,2.77,0.08
2023-01-18,AURE3.SA,-1.0,31.76,4.88,31,17,14,54.84,45.16,-3.13,2.84,0.1
2023-01-18,AURE3.SA,-1.1,27.67,7.41,30,18,12,60.0,40.0,-3.07,2.98,0.16
2023-01-18,AURE3.SA,-1.2,27.91,10.64,30,20,10,66.67,33.33,-2.93,3.05,0.23
2023-01-18,AURE3.SA,-1.3,30.4,13.77,30,20,10,66.67,33.33,-2.8,3.12,0.29
2023-01-18,AURE3.SA,-1.4,29.32,12.4,27,18,9,66.67,33.33,-2.73,3.09,0.26
2023-01-18,AURE3.SA,-1.5,35.1,12.81,27,19,8,70.37,29.63,-2.67,3.16,0.27
2023-01-18,AURE3.SA,-1.6,20.5,15.23,27,20,7,74.07,25.93,-2.53,3.3,0.32
2023-01-18,AURE3.SA,-1.7,22.56,16.69,25,19,6,76.0,24.0,-2.4,3.37,0.36
2023-01-18,AURE3.SA,-1.8,16.19,15.51,23,17,6,73.91,26.09,-2.33,3.51,0.33
2023-01-18,AURE3.SA,-1.9,6.31,12.57,21,15,6,71.43,28.57,-2.27,3.29,0.27
2023-01-18,AURE3.SA,-2.0,12.53,15.01,21,15,6,71.43,28.57,-2.13,3.36,0.32
2023-01-18,AURE3.SA,-2.1,10.33,13.97,20,14,6,70.0,30.0,-2.0,3.5,0.3
2023-01-18,AURE3.SA,-2.2,11.67,12.73,17,11,6,64.71,35.29,-1.93,3.56,0.27
2023-01-18,AURE3.SA,-2.3,12.28,10.61,14,9,5,64.29,35.71,-1.87,3.7,0.23
2023-01-18,AURE3.SA,-2.4,12.33,7.7,11,7,4,63.64,36.36,-1.73,3.77,0.16
2023-01-18,AURE3.SA,-2.5,10.42,2.22,10,6,4,60.0,40.0,-1.6,2.76,0.05
2023-01-18,AURE3.SA,-2.6,9.13,0.5,8,4,4,50.0,50.0,-1.53,2.9,0.01
2023-01-18,AURE3.SA,-2.7,9.76,0.05,7,3,4,42.86,57.14,-1.47,2.97,0.0
2023-01-18,AURE3.SA,-2.8,12.57,0.18,6,2,4,33.33,66.67,-1.33,3.11,0.0
2023-01-18,AURE3.SA,-2.9,9.86,0.79,6,2,4,33.33,66.67,-1.2,3.18,0.02
2023-01-18,AURE3.SA,-3.0,9.58,1.35,6,2,4,33.33,66.67,-1.13,3.25,0.03
2023-01-18,AURE3.SA,-3.1,10.16,1.96,6,2,4,33.33,66.67,-1.07,3.39,0.04
2023-01-18,AURE3.SA,-3.2,10.82,2.65,6,2,4,33.33,66.67,-0.93,3.46,0.06
2023-01-18,AURE3.SA,-3.3,13.48,3.27,6,2,4,33.33,66.67,-0.8,3.6,0.07
2023-01-18,AURE3.SA,-3.4,11.88,3.89,6,3,3,50.0,50.0,-0.73,3.67,0.08
2023-01-18,AURE3.SA,-3.5,14.0,4.36,6,3,3,50.0,50.0,-0.67,3.82,0.09
2023-01-18,AURE3.SA,-3.6,11.61,1.17,5,2,3,40.0,60.0,-0.53,2.03,0.02
2023-01-18,AURE3.SA,-3.7,13.62,1.64,5,2,3,40.0,60.0,-0.4,2.17,0.03
2023-01-18,AURE3.SA,-3.8,15.79,2.12,5,2,3,40.0,60.0,-0.33,2.24,0.05
2023-01-18,AURE3.SA,-3.9,14.67,0.22,3,1,2,33.33,66.67,-0.27,0.56,0.0
2023-01-18,AURE3.SA,-4.0,16.44,0.57,3,2,1,66.67,33.33,-0.13,0.63,0.01
2023-01-18,AVGO34.SA,-0.5,-115.67,-47.12,52,16,36,30.77,69.23,-15.05,2.0,-0.52
2023-01-18,AVGO34.SA,-0.6,-103.14,-42.09,50,16,34,32.0,68.0,-14.94,2.12,-0.47
2023-01-18,AVGO34.SA,-0.7,-99.85,-39.01,48,17,31,35.42,64.58,-14.84,2.22,-0.43
2023-01-18,AVGO34.SA,-0.8,-97.88,-35.2,46,18,28,39.13,60.87,-14.73,2.31,-0.39
2023-01-18,AVGO34.SA,-0.9,-90.12,-32.74,44,18,26,40.91,59.09,-14.64,2.4,-0.36
2023-01-18,AVGO34.SA,-1.0,-83.34,-30.26,42,16,26,38.1,61.9,-14.54,2.52,-0.34
2023-01-18,AVGO34.SA,-1.1,-75.79,-26.16,40,17,23,42.5,57.5,-14.43,2.62,-0.29
2023-01-18,AVGO34.SA,-1.2,-74.75,-26.82,34,13,21,38.24,61.76,-14.35,2.71,-0.3
2023-01-18,AVGO34.SA,-1.3,-69.51,-23.26,35,15,20,42.86,57.14,-14.24,2.8,-0.26
2023-01-18,AVGO34.SA,-1.4,-65.09,-22.33,30,12,18,40.0,60.0,-14.13,2.92,-0.25
2023-01-18,AVGO34.SA,-1.5,-74.81,-27.84,23,6,17,26.09,73.91,-14.05,2.7,-0.31
2023-01-18,AVGO34.SA,-1.6,-69.52,-26.33,23,6,17,26.09,73.91,-13.94,2.8,-0.29
2023-01-18,AVGO34.SA,-1.7,-69.79,-26.92,22,7,15,31.82,68.18,-13.84,2.9,-0.3
2023-01-18,AVGO34.SA,-1.8,-67.24,-24.73,22,8,14,36.36,63.64,-13.73,3.01,-0.27
2023-01-18,AVGO34.SA,-1.9,-70.53,-26.06,19,7,12,36.84,63.16,-13.64,1.06,-0.29
2023-01-18,AVGO34.SA,-2.0,-68.0,-24.14,19,8,11,42.11,57.89,-13.54,1.16,-0.27
2023-01-18,AVGO34.SA,-2.1,-64.35,-22.33,18,9,9,50.0,50.0,-13.43,1.26,-0.25
2023-01-18,AVGO34.SA,-2.2,-62.43,-22.35,14,5,9,35.71,64.29,-13.35,1.36,-0.25
2023-01-18,AVGO34.SA,-2.3,-60.14,-21.93,13,4,9,30.77,69.23,-13.24,1.46,-0.24
2023-01-18,AVGO34.SA,-2.4,-56.93,-20.62,13,4,9,30.77,69.23,-13.13,1.56,-0.23
2023-01-18,AVGO34.SA,-2.5,-54.05,-19.31,13,4,9,30.77,69.23,-13.05,1.66,-0.21
2023-01-18,AVGO34.SA,-2.6,-53.26,-20.3,11,3,8,27.27,72.73,-12.94,1.51,-0.23
2023-01-18,AVGO34.SA,-2.7,-52.47,-19.28,10,2,8,20.0,80.0,-12.84,1.61,-0.21
2023-01-18,AVGO34.SA,-2.8,-51.25,-18.33,9,3,6,33.33,66.67,-12.73,1.7,-0.2
2023-01-18,AVGO34.SA,-2.9,-54.85,-18.52,7,2,5,28.57,71.43,-12.64,1.82,-0.21
2023-01-18,AVGO34.SA,-3.0,-52.74,-17.7,7,3,4,42.86,57.14,-12.54,1.91,-0.2
2023-01-18,AVGO34.SA,-3.1,-50.91,-17.04,7,4,3,57.14,42.86,-12.43,2.0,-0.19
2023-01-18,AVGO34.SA,-3.2,-49.02,-16.33,7,4,3,57.14,42.86,-12.35,2.1,-0.18
2023-01-18,AVGO34.SA,-3.3,-49.34,-17.82,6,3,3,50.0,50.0,-12.24,0.57,-0.2
2023-01-18,AVGO34.SA,-3.4,-48.53,-18.22,4,1,3,25.0,75.0,-12.13,0.51,-0.2
2023-01-18,AVGO34.SA,-3.5,-46.93,-17.84,4,1,3,25.0,75.0,-12.05,0.6,-0.2
2023-01-18,AVGO34.SA,-3.6,-45.27,-17.42,4,1,3,25.0,75.0,-11.94,0.72,-0.19
2023-01-18,AVGO34.SA,-3.7,-43.7,-17.04,4,1,3,25.0,75.0,-11.83,0.8,-0.19
2023-01-18,AVGO34.SA,-3.8,-42.11,-16.62,4,1,3,25.0,75.0,-11.73,0.92,-0.18
2023-01-18,AVGO34.SA,-3.9,-40.54,-16.24,4,1,3,25.0,75.0,-11.64,1.01,-0.18
2023-01-18,AVGO34.SA,-4.0,-38.93,-15.82,4,1,3,25.0,75.0,-11.54,1.1,-0.18
2023-01-18,AVLL3.SA,-0.5,-180.55,-86.11,23,5,18,21.74,78.26,-13.24,6.36,-0.96
2023-01-18,AVLL3.SA,-0.6,-175.62,-84.04,23,5,18,21.74,78.26,-13.09,6.36,-0.93
2023-01-18,AVLL3.SA,-0.7,-170.57,-81.61,21,5,16,23.81,76.19,-12.95,6.55,-0.91
2023-01-18,AVLL3.SA,-0.8,-172.83,-79.64,21,5,16,23.81,76.19,-12.81,6.55,-0.88
2023-01-18,AVLL3.SA,-0.9,-168.53,-77.51,21,5,16,23.81,76.19,-12.81,6.74,-0.86
2023-01-18,AVLL3.SA,-1.0,-164.18,-75.44,21,5,16,23.81,76.19,-12.66,6.74,-0.84
2023-01-18,AVLL3.SA,-1.1,-169.45,-73.33,21,5,16,23.81,76.19,-12.52,6.94,-0.81
2023-01-18,AVLL3.SA,-1.2,-165.5,-71.4,20,5,15,25.0,75.0,-12.52,6.94,-0.79
2023-01-18,AVLL3.SA,-1.3,-161.22,-69.11,21,6,15,28.57,71.43,-12.37,7.13,-0.77
2023-01-18,AVLL3.SA,-1.4,-157.26,-67.28,21,6,15,28.57,71.43,-12.23,7.13,-0.75
2023-01-18,AVLL3.SA,-1.5,-152.74,-65.06,21,6,15,28.57,71.43,-12.23,7.32,-0.72
2023-01-18,AVLL3.SA,-1.6,-155.33,-62.86,20,6,14,30.0,70.0,-12.09,7.32,-0.7
