,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,AERI3.SA,-1.5,-135.04,-62.52,61,24,37,39.34,60.66,-13.56,13.04,-0.69
2023-01-18,AERI3.SA,-1.6,-120.14,-56.24,63,26,37,41.27,58.73,-13.56,13.04,-0.62
2023-01-18,AERI3.SA,-1.7,-122.14,-63.7,61,24,37,39.34,60.66,-13.56,13.04,-0.71
2023-01-18,AERI3.SA,-1.8,-113.64,-58.44,59,24,35,40.68,59.32,-13.56,13.04,-0.65
2023-01-18,AERI3.SA,-1.9,-114.97,-60.44,58,24,34,41.38,58.62,-13.56,13.04,-0.67
2023-01-18,AERI3.SA,-2.0,-123.45,-66.26,57,23,34,40.35,59.65,-13.56,13.04,-0.74
2023-01-18,AERI3.SA,-2.1,-121.98,-63.95,56,23,33,41.07,58.93,-13.56,13.04,-0.71
2023-01-18,AERI3.SA,-2.2,-106.02,-55.75,55,23,32,41.82,58.18,-12.71,13.91,-0.62
2023-01-18,AERI3.SA,-2.3,-91.59,-50.99,54,23,31,42.59,57.41,-12.71,13.91,-0.57
2023-01-18,AERI3.SA,-2.4,-98.76,-51.62,52,21,31,40.38,59.62,-12.71,13.91,-0.57
2023-01-18,AERI3.SA,-2.5,-99.01,-47.61,50,20,30,40.0,60.0,-12.71,13.91,-0.53
2023-01-18,AERI3.SA,-2.6,-88.84,-44.77,46,19,27,41.3,58.7,-12.71,13.91,-0.5
2023-01-18,AERI3.SA,-2.7,-92.39,-47.0,42,16,26,38.1,61.9,-12.71,13.91,-0.52
2023-01-18,AERI3.SA,-2.8,-90.92,-46.46,40,16,24,40.0,60.0,-12.71,13.91,-0.52
2023-01-18,AERI3.SA,-2.9,-91.25,-50.31,37,14,23,37.84,62.16,-12.71,13.91,-0.56
2023-01-18,AERI3.SA,-3.0,-83.45,-47.42,38,15,23,39.47,60.53,-11.86,13.91,-0.53
2023-01-18,AERI3.SA,-3.1,-76.69,-41.06,40,18,22,45.0,55.0,-11.86,14.78,-0.46
2023-01-18,AERI3.SA,-3.2,-67.44,-36.97,41,19,22,46.34,53.66,-11.86,14.78,-0.41
2023-01-18,AERI3.SA,-3.3,-64.78,-35.71,41,19,22,46.34,53.66,-11.86,14.78,-0.4
2023-01-18,AERI3.SA,-3.4,-72.87,-37.98,39,18,21,46.15,53.85,-11.86,14.78,-0.42
2023-01-18,AERI3.SA,-3.5,-67.72,-37.54,37,17,20,45.95,54.05,-11.86,14.78,-0.42
2023-01-18,AERI3.SA,-3.6,-61.55,-35.56,33,15,18,45.45,54.55,-11.86,14.78,-0.4
2023-01-18,AERI3.SA,-3.7,-59.67,-34.9,31,14,17,45.16,54.84,-11.86,14.78,-0.39
2023-01-18,AERI3.SA,-3.8,-66.8,-40.71,27,10,17,37.04,62.96,-11.86,14.78,-0.45
2023-01-18,AERI3.SA,-3.9,-78.68,-41.26,26,9,17,34.62,65.38,-11.02,14.78,-0.46
2023-01-18,AERI3.SA,-4.0,-88.49,-54.18,25,8,17,32.0,68.0,-11.02,3.74,-0.6
2023-01-18,AESB3.SA,-0.5,-2.37,-4.66,69,30,39,43.48,56.52,-5.18,3.98,-0.05
2023-01-18,AESB3.SA,-0.6,3.85,-3.19,65,27,38,41.54,58.46,-5.08,4.08,-0.04
2023-01-18,AESB3.SA,-0.7,6.2,-4.15,57,23,34,40.35,59.65,-4.99,3.32,-0.05
2023-01-18,AESB3.SA,-0.8,10.09,-1.76,54,24,30,44.44,55.56,-4.89,3.42,-0.02
2023-01-18,AESB3.SA,-0.9,17.63,-1.75,49,23,26,46.94,53.06,-4.79,3.52,-0.02
2023-01-18,AESB3.SA,-1.0,22.2,0.11,49,25,24,51.02,48.98,-4.7,3.63,0.0
2023-01-18,AESB3.SA,-1.1,17.92,1.53,43,22,21,51.16,48.84,-4.6,3.73,0.02
2023-01-18,AESB3.SA,-1.2,25.18,5.7,40,22,18,55.0,45.0,-4.41,3.83,0.06
2023-01-18,AESB3.SA,-1.3,10.46,6.8,38,21,17,55.26,44.74,-4.31,3.94,0.08
2023-01-18,AESB3.SA,-1.4,9.68,3.41,32,17,15,53.12,46.88,-4.22,2.02,0.04
2023-01-18,AESB3.SA,-1.5,11.1,0.94,29,15,14,51.72,48.28,-4.12,1.92,0.01
2023-01-18,AESB3.SA,-1.6,14.57,1.79,26,14,12,53.85,46.15,-4.03,2.03,0.02
2023-01-18,AESB3.SA,-1.7,12.8,1.74,21,11,10,52.38,47.62,-3.93,2.13,0.02
2023-01-18,AESB3.SA,-1.8,8.69,2.75,20,11,9,55.0,45.0,-3.84,2.24,0.03
